County,State,Overall Homeless 2024,Overall Chronically Homeless 2024,Unsheltered Homeless 2024,Sheltered Total Homeless 2024,Sheltered ES Homeless 2024,Sheltered TH Homeless 2024,Sheltered SH Homeless 2024,Overall Homeless 2023,Overall Chronically Homeless 2023,Unsheltered Homeless 2023,Sheltered Total Homeless 2023,Sheltered ES Homeless 2023,Sheltered TH Homeless 2023,Sheltered SH Homeless 2023,Overall Homeless 2022,Overall Chronically Homeless 2022,Unsheltered Homeless 2022,Sheltered Total Homeless 2022,Sheltered ES Homeless 2022,Sheltered TH Homeless 2022,Sheltered SH Homeless 2022,Overall Homeless 2021,Overall Chronically Homeless 2021,Unsheltered Homeless 2021,Sheltered Total Homeless 2021,Sheltered ES Homeless 2021,Sheltered TH Homeless 2021,Sheltered SH Homeless 2021,Overall Homeless 2020,Overall Chronically Homeless 2020,Unsheltered Homeless 2020,Sheltered Total Homeless 2020,Sheltered ES Homeless 2020,Sheltered TH Homeless 2020,Sheltered SH Homeless 2020,Overall Homeless 2019,Overall Chronically Homeless 2019,Unsheltered Homeless 2019,Sheltered Total Homeless 2019,Sheltered ES Homeless 2019,Sheltered TH Homeless 2019,Sheltered SH Homeless 2019,Overall Homeless 2018,Overall Chronically Homeless 2018,Unsheltered Homeless 2018,Sheltered Total Homeless 2018,Sheltered ES Homeless 2018,Sheltered TH Homeless 2018,Sheltered SH Homeless 2018,Overall Homeless 2017,Overall Chronically Homeless 2017,Unsheltered Homeless 2017,Sheltered Total Homeless 2017,Sheltered ES Homeless 2017,Sheltered TH Homeless 2017,Sheltered SH Homeless 2017,Overall Homeless 2016,Overall Chronically Homeless 2016,Unsheltered Homeless 2016,Sheltered Total Homeless 2016,Sheltered ES Homeless 2016,Sheltered TH Homeless 2016,Sheltered SH Homeless 2016,Overall Homeless 2015,Overall Chronically Homeless 2015,Unsheltered Homeless 2015,Sheltered Total Homeless 2015,Sheltered ES Homeless 2015,Sheltered TH Homeless 2015,Sheltered SH Homeless 2015,Overall Homeless 2014,Overall Chronically Homeless 2014,Unsheltered Homeless 2014,Sheltered Total Homeless 2014,Sheltered ES Homeless 2014,Sheltered TH Homeless 2014,Sheltered SH Homeless 2014,Median Rent 2024,Median Rent 2023,Median Rent 2022,Median Rent 2021,Median Rent 2020,Median Rent 2019,Median Rent 2018,Median Rent 2017,Median Rent 2016,Median Rent 2015,Median Rent 2014,ttl_extreme_poverty 2024,ttl_poverty 2024,ttl_population 2024,ttl_extreme_poverty 2023,ttl_poverty 2023,ttl_population 2023,ttl_extreme_poverty 2022,ttl_poverty 2022,ttl_population 2022,ttl_extreme_poverty 2021,ttl_poverty 2021,ttl_population 2021,ttl_extreme_poverty 2020,ttl_poverty 2020,ttl_population 2020,ttl_extreme_poverty 2019,ttl_poverty 2019,ttl_population 2019,ttl_extreme_poverty 2018,ttl_poverty 2018,ttl_population 2018,ttl_extreme_poverty 2017,ttl_poverty 2017,ttl_population 2017,ttl_extreme_poverty 2016,ttl_poverty 2016,ttl_population 2016,ttl_extreme_poverty 2015,ttl_poverty 2015,ttl_population 2015,ttl_extreme_poverty 2014,ttl_poverty 2014,ttl_population 2014,Total_Housing_Units 2024,Vacant_Units 2024,Total_Housing_Units 2023,Vacant_Units 2023,Total_Housing_Units 2022,Vacant_Units 2022,Total_Housing_Units 2021,Vacant_Units 2021,Total_Housing_Units 2020,Vacant_Units 2020,Total_Housing_Units 2019,Vacant_Units 2019,Total_Housing_Units 2018,Vacant_Units 2018,Total_Housing_Units 2017,Vacant_Units 2017,Total_Housing_Units 2016,Vacant_Units 2016,Total_Housing_Units 2015,Vacant_Units 2015,Total_Housing_Units 2014,Vacant_Units 2014,CoC-Code,Total Funding 2013,Total Funding 2014,Total Funding 2015,Total Funding 2016,Total Funding 2017,Total Funding 2018,Total Funding 2019,Total Funding 2020,Total Funding 2021,Total Funding 2022,Total Funding 2023
Durham County,NC,405,102,172,233,223,10,0,375.0,76.0,158.0,217.0,183.0,34.0,0.0,459.0,154.0,144.0,315.0,286.0,29.0,0.0,396.0,119.0,118.0,278.0,250.0,28.0,0.0,349.0,61.0,77.0,272.0,239.0,33.0,0.0,361.0,82.0,81.0,280.0,236.0,44.0,0.0,338.0,68.0,53.0,285.0,240.0,45.0,0.0,354.0,50.0,60.0,294.0,240.0,54.0,0.0,354.0,57.0,32.0,322.0,216.0,106.0,0.0,813.0,59.0,44.0,769.0,434.0,335.0,0.0,811.0,111.0,53.0,758.0,337.0,421.0,0.0,1508,1415,1301,1162,1103,1067,1014,966,921,895,877,19444.0,36779.0,319644.0,20331.0,38013.0,316530.0,18990.0,38202.0,311331.0,20766.0,40371.0,306261.0,20331.0,40972.0,303427.0,21336.0,45221.0,298040.0,22274.0,46805.0,292926.0,22891.0,47237.0,287878.0,23622.0,48907.0,281786.0,23990.0,49835.0,276350.0,100676.0,48820.0,269819.0,153022.0,11175.0,149150.0,10648.0,145518.0,10049.0,142239.0,9477.0,139199.0,9071.0,136060.0,10107.0,133429.0,9985.0,130691.0,9755.0,128160.0,9479.0,125685.0,9710.0,123761.0,10197.0,NC-502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dutchess County,NY,705,40,47,658,543,115,0,691.0,80.0,19.0,672.0,535.0,137.0,0.0,636.0,87.0,20.0,616.0,442.0,174.0,0.0,536.0,60.0,20.0,516.0,338.0,178.0,0.0,591.0,7.0,10.0,581.0,409.0,172.0,0.0,533.0,31.0,10.0,523.0,361.0,162.0,0.0,399.0,26.0,9.0,390.0,219.0,171.0,0.0,388.0,6.0,9.0,379.0,206.0,173.0,0.0,385.0,21.0,22.0,363.0,176.0,187.0,0.0,375.0,31.0,15.0,360.0,169.0,191.0,0.0,403.0,9.0,7.0,396.0,215.0,181.0,0.0,1582,1522,1425,1314,1237,1220,1194,1174,1141,1130,1124,13713.0,23837.0,282927.0,12837.0,23328.0,282406.0,12564.0,24165.0,281834.0,12017.0,24677.0,279766.0,11563.0,24360.0,277036.0,11410.0,25065.0,277234.0,11044.0,25335.0,277367.0,11370.0,25353.0,278988.0,11572.0,25562.0,279264.0,12051.0,26229.0,280620.0,61591.0,24801.0,281057.0,123169.0,6894.0,122636.0,7452.0,122129.0,8157.0,121674.0,9939.0,121161.0,11066.0,120789.0,12376.0,120472.0,13125.0,120136.0,12752.0,119023.0,12074.0,118996.0,12225.0,118848.0,11950.0,NY-601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duval County,FL,1339,121,560,779,477,302,0,1247.0,62.0,396.0,851.0,462.0,389.0,0.0,1279.0,117.0,230.0,1049.0,731.0,318.0,0.0,1222.0,29.0,230.0,992.0,668.0,324.0,0.0,1366.0,71.0,451.0,915.0,545.0,370.0,0.0,1654.0,301.0,508.0,1146.0,707.0,439.0,0.0,1794.0,327.0,429.0,1365.0,878.0,487.0,0.0,1869.0,319.0,432.0,1437.0,933.0,504.0,0.0,1959.0,337.0,441.0,1518.0,907.0,611.0,0.0,1853.0,353.0,426.0,1427.0,839.0,588.0,0.0,2049.0,431.0,293.0,1756.0,1050.0,706.0,0.0,1475,1385,1293,1154,1096,1074,1037,991,962,943,941,71545.0,141504.0,1000290.0,71640.0,143754.0,983310.0,67458.0,139341.0,971889.0,67640.0,139089.0,961709.0,65550.0,134680.0,927234.0,63438.0,132346.0,914959.0,66553.0,139758.0,903209.0,68601.0,143014.0,891138.0,70020.0,146252.0,880061.0,74057.0,150792.0,870858.0,324653.0,150319.0,861507.0,454740.0,39612.0,445946.0,40807.0,437330.0,41198.0,429495.0,42487.0,413084.0,43380.0,407960.0,48416.0,403548.0,49161.0,399736.0,51953.0,396150.0,54244.0,393571.0,55671.0,391719.0,56998.0,FL-510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Baton Rouge Parish,LA,783,125,475,308,261,47,0,678.0,127.0,378.0,300.0,247.0,53.0,0.0,4731.0,148.0,582.0,4149.0,4035.0,114.0,0.0,330.0,27.0,0.0,330.0,244.0,86.0,0.0,757.0,111.0,283.0,474.0,317.0,130.0,27.0,593.0,123.0,217.0,376.0,257.0,119.0,0.0,575.0,101.0,134.0,441.0,239.0,202.0,0.0,706.0,75.0,132.0,574.0,254.0,320.0,0.0,797.0,49.0,119.0,678.0,256.0,422.0,0.0,907.0,94.0,107.0,800.0,302.0,498.0,0.0,876.0,46.0,35.0,841.0,304.0,537.0,0.0,1147,1121,1081,990,936,933,912,882,855,842,833,45710.0,85736.0,437539.0,40803.0,81374.0,438536.0,39023.0,78833.0,441372.0,36685.0,78767.0,445909.0,35081.0,75635.0,433686.0,35872.0,78365.0,434564.0,37977.0,79462.0,434827.0,42555.0,83483.0,436841.0,42830.0,85171.0,435669.0,43657.0,85254.0,434995.0,164558.0,83726.0,433449.0,206591.0,29296.0,205518.0,30110.0,204246.0,30454.0,202782.0,31433.0,195178.0,30537.0,194236.0,29890.0,193211.0,27272.0,192159.0,24971.0,191397.0,22836.0,190343.0,21223.0,189353.0,20819.0,LA-509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eaton County,MI,55,2,5,50,30,20,0,55.0,6.0,13.0,42.0,25.0,17.0,0.0,68.0,4.0,0.0,68.0,44.0,24.0,0.0,83.0,4.0,0.0,83.0,46.0,37.0,0.0,111.0,1.0,1.0,110.0,45.0,65.0,0.0,114.0,0.0,0.0,114.0,39.0,75.0,0.0,122.0,4.0,5.0,117.0,40.0,77.0,0.0,107.0,0.0,6.0,101.0,32.0,69.0,0.0,120.0,2.0,9.0,111.0,29.0,82.0,0.0,135.0,2.0,9.0,126.0,48.0,78.0,0.0,126.0,0.0,15.0,111.0,42.0,69.0,0.0,1092,1042,1013,924,888,858,842,823,794,771,772,4569.0,8929.0,107229.0,3953.0,8305.0,107207.0,3829.0,8156.0,107193.0,3597.0,8357.0,107202.0,3979.0,9281.0,107930.0,4873.0,10925.0,107659.0,5293.0,11495.0,107288.0,5228.0,11655.0,106712.0,5444.0,11895.0,106752.0,4891.0,11524.0,106599.0,31274.0,11114.0,106397.0,47753.0,2325.0,47650.0,2535.0,47562.0,2562.0,47475.0,2580.0,47647.0,2610.0,47558.0,3078.0,47431.0,3041.0,47348.0,3025.0,47057.0,3149.0,47092.0,3460.0,47032.0,3470.0,MI-523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eau Claire County,WI,3201,513,341,2860,2281,579,0,2940.0,332.0,268.0,2672.0,2100.0,570.0,2.0,3049.0,432.0,195.0,2854.0,2283.0,565.0,6.0,2420.0,278.0,129.0,2291.0,1745.0,541.0,5.0,2708.0,376.0,125.0,2583.0,1997.0,580.0,6.0,2875.0,340.0,94.0,2781.0,1966.0,809.0,6.0,3147.0,285.0,127.0,3020.0,1990.0,1023.0,7.0,3348.0,232.0,137.0,3211.0,2023.0,1181.0,7.0,3445.0,187.0,132.0,3313.0,1939.0,1367.0,7.0,3597.0,238.0,207.0,3390.0,1920.0,1463.0,7.0,3569.0,246.0,123.0,3446.0,1924.0,1515.0,7.0,1064,977,929,848,818,823,808,787,757,746,725,5281.0,12171.0,103163.0,5448.0,11821.0,102391.0,6010.0,12308.0,101854.0,6317.0,12943.0,101231.0,6671.0,13073.0,99991.0,6934.0,13728.0,99354.0,6366.0,14271.0,98861.0,5893.0,14197.0,98168.0,5956.0,14233.0,97556.0,6521.0,14862.0,97020.0,32803.0,14753.0,96032.0,46936.0,2210.0,45818.0,2557.0,45241.0,2760.0,44765.0,2789.0,44419.0,2817.0,44089.0,3108.0,43770.0,3017.0,43422.0,2894.0,42997.0,2795.0,42708.0,2815.0,42564.0,2492.0,WI-500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ector County,TX,10081,1751,6368,3713,2990,723,0,9065.0,1680.0,5178.0,3887.0,3067.0,820.0,0.0,7054.0,1141.0,3555.0,3499.0,2845.0,654.0,0.0,2562.0,214.0,0.0,2562.0,1923.0,639.0,0.0,9198.0,1178.0,5765.0,3433.0,2811.0,622.0,0.0,8072.0,597.0,4656.0,3416.0,2684.0,732.0,0.0,7638.0,644.0,4078.0,3560.0,2881.0,679.0,0.0,7153.0,879.0,3570.0,3583.0,2617.0,966.0,0.0,6048.0,853.0,2388.0,3660.0,2564.0,1096.0,0.0,7016.0,1428.0,2926.0,4090.0,2947.0,1143.0,0.0,9943.0,2434.0,5880.0,4063.0,2774.0,1289.0,0.0,1259,1284,1232,1134,1073,1059,1013,971,934,903,849,14576.0,26727.0,162467.0,13883.0,24626.0,161243.0,13795.0,25297.0,160274.0,11647.0,22521.0,159627.0,10056.0,20851.0,160389.0,8835.0,18899.0,158804.0,7292.0,18481.0,156445.0,7825.0,18882.0,153690.0,7458.0,18777.0,150910.0,7849.0,19162.0,147464.0,51099.0,20788.0,142651.0,68899.0,4336.0,67542.0,5120.0,66082.0,5406.0,64563.0,5544.0,59155.0,5553.0,58393.0,5863.0,57669.0,5715.0,57014.0,5539.0,56167.0,5217.0,55357.0,4489.0,54548.0,4334.0,TX-607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado County,CA,284,60,135,149,91,58,0,491.0,92.0,438.0,53.0,15.0,38.0,0.0,511.0,100.0,438.0,73.0,40.0,33.0,0.0,99.0,16.0,0.0,99.0,72.0,27.0,0.0,663.0,107.0,480.0,183.0,145.0,38.0,0.0,613.0,111.0,480.0,133.0,75.0,58.0,0.0,645.0,211.0,496.0,149.0,111.0,38.0,0.0,602.0,241.0,496.0,106.0,59.0,47.0,0.0,269.0,139.0,148.0,121.0,72.0,49.0,0.0,269.0,104.0,148.0,121.0,46.0,75.0,0.0,195.0,73.0,49.0,146.0,66.0,80.0,0.0,1715,1626,1597,1409,1320,1260,1200,1122,1105,1054,1073,7178.0,15285.0,191327.0,7658.0,15754.0,190642.0,7277.0,16364.0,190326.0,7260.0,16394.0,188914.0,6942.0,16018.0,188636.0,7071.0,15643.0,186608.0,7065.0,16537.0,185012.0,8260.0,17996.0,183319.0,7747.0,17839.0,181369.0,8259.0,18831.0,180411.0,44383.0,18497.0,180066.0,94653.0,18468.0,94258.0,18539.0,93679.0,18489.0,92999.0,18464.0,91569.0,18491.0,90333.0,19359.0,89763.0,20591.0,89286.0,21202.0,88882.0,21354.0,88639.0,21553.0,88496.0,21276.0,CA-525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Paso County,CO,1146,282,259,887,537,350,0,1302.0,470.0,374.0,928.0,555.0,373.0,0.0,1406.0,396.0,267.0,1139.0,688.0,451.0,0.0,1156.0,182.0,0.0,1156.0,626.0,530.0,0.0,1339.0,284.0,358.0,981.0,621.0,360.0,0.0,1562.0,336.0,444.0,1118.0,679.0,439.0,0.0,1551.0,345.0,513.0,1038.0,652.0,386.0,0.0,1415.0,374.0,457.0,958.0,536.0,422.0,0.0,1302.0,387.0,311.0,991.0,591.0,400.0,0.0,1073.0,291.0,243.0,830.0,496.0,334.0,0.0,1219.0,327.0,269.0,950.0,443.0,507.0,0.0,1696,1609,1507,1347,1234,1174,1119,1070,1012,976,941,33386.0,61500.0,721539.0,32567.0,60977.0,714594.0,33763.0,65325.0,709408.0,31841.0,67252.0,703302.0,30454.0,67975.0,690908.0,30398.0,68548.0,680092.0,31468.0,72948.0,668580.0,31197.0,72699.0,656432.0,31642.0,73012.0,647099.0,33903.0,75033.0,637278.0,185411.0,78493.0,627174.0,303482.0,13292.0,296753.0,13579.0,289809.0,13438.0,283726.0,13548.0,276538.0,13758.0,272379.0,14872.0,268622.0,15243.0,265305.0,15560.0,265480.0,16201.0,261745.0,16458.0,256865.0,16711.0,CO-504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Paso County,TX,913,99,189,724,588,136,0,1112.0,111.0,168.0,944.0,756.0,188.0,0.0,836.0,100.0,180.0,656.0,537.0,119.0,0.0,528.0,31.0,0.0,528.0,368.0,160.0,0.0,843.0,102.0,162.0,681.0,495.0,186.0,0.0,809.0,123.0,183.0,626.0,422.0,204.0,0.0,892.0,151.0,177.0,715.0,518.0,197.0,0.0,1193.0,96.0,177.0,1016.0,583.0,414.0,19.0,1100.0,105.0,113.0,987.0,494.0,473.0,20.0,1107.0,132.0,102.0,1005.0,523.0,462.0,20.0,1260.0,179.0,181.0,1079.0,613.0,446.0,20.0,1079,1045,978,908,855,838,812,790,765,750,741,68604.0,160597.0,856719.0,70113.0,160998.0,852466.0,68766.0,165778.0,849872.0,65252.0,163105.0,846265.0,61140.0,160122.0,821728.0,63451.0,165719.0,820912.0,64030.0,175171.0,822256.0,64990.0,177980.0,819702.0,67174.0,183925.0,818540.0,70209.0,185728.0,816100.0,418885.0,189586.0,809165.0,323571.0,23934.0,320812.0,24471.0,317665.0,25085.0,314174.0,25988.0,299067.0,25405.0,296101.0,27791.0,293365.0,27641.0,289883.0,26683.0,286261.0,24846.0,282616.0,23004.0,278902.0,21302.0,TX-603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elkhart County,IN,4584,365,1138,3446,2733,700,13,4398.0,387.0,804.0,3594.0,2813.0,756.0,25.0,3688.0,371.0,597.0,3091.0,2545.0,526.0,20.0,3047.0,215.0,662.0,2385.0,1805.0,557.0,23.0,4037.0,271.0,780.0,3257.0,2499.0,735.0,23.0,3904.0,241.0,537.0,3367.0,2571.0,776.0,20.0,3576.0,244.0,443.0,3133.0,2288.0,822.0,23.0,3655.0,330.0,443.0,3212.0,2237.0,952.0,23.0,4179.0,427.0,561.0,3618.0,2287.0,1309.0,22.0,4197.0,488.0,472.0,3725.0,2265.0,1435.0,25.0,4081.0,365.0,329.0,3752.0,2385.0,1367.0,0.0,1047,1023,945,859,820,810,777,747,725,719,715,12714.0,25311.0,204191.0,12621.0,25517.0,203468.0,11762.0,24427.0,203329.0,11486.0,23130.0,202832.0,11093.0,23506.0,201533.0,10468.0,24885.0,200909.0,11590.0,26675.0,199933.0,11888.0,27452.0,198936.0,13172.0,29381.0,197671.0,15494.0,31601.0,196763.0,77466.0,31750.0,195727.0,80493.0,8184.0,80102.0,8342.0,79808.0,8057.0,79411.0,8068.0,79389.0,7027.0,79096.0,7378.0,78804.0,6475.0,78508.0,6775.0,77932.0,7110.0,77880.0,7441.0,77840.0,7413.0,IN-502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ellis County,TX,3718,663,1086,2632,1557,1021,54,4244.0,687.0,1184.0,3060.0,1815.0,1199.0,46.0,4410.0,1009.0,1380.0,3030.0,2451.0,533.0,46.0,4570.0,792.0,1432.0,3138.0,2611.0,497.0,30.0,4471.0,505.0,1619.0,2852.0,1938.0,864.0,50.0,4538.0,533.0,1452.0,3086.0,2044.0,993.0,49.0,4121.0,587.0,1341.0,2780.0,1972.0,785.0,23.0,3789.0,542.0,1087.0,2702.0,1897.0,786.0,19.0,3810.0,597.0,739.0,3071.0,1968.0,1080.0,23.0,3141.0,615.0,363.0,2778.0,1775.0,980.0,23.0,3514.0,489.0,242.0,3272.0,2072.0,1176.0,24.0,1594,1449,1345,1190,1104,1054,1012,960,932,907,898,5812.0,14539.0,210653.0,7217.0,16372.0,201642.0,6559.0,15850.0,193409.0,6189.0,15187.0,186056.0,6074.0,14346.0,177414.0,6184.0,15026.0,171471.0,5815.0,15481.0,166593.0,6599.0,17014.0,161929.0,6645.0,17458.0,158079.0,6822.0,18755.0,154910.0,50563.0,18294.0,152215.0,75422.0,3663.0,72541.0,3689.0,69624.0,3938.0,66793.0,4085.0,63684.0,4285.0,61722.0,4415.0,60033.0,4193.0,58592.0,3867.0,57235.0,3432.0,56353.0,3700.0,55628.0,3814.0,TX-600,13483004.0,13555961.0,13289358.0,12911097.0,13321760.0,13642862.0,17036008.0,18595353.0,18960056.0,44872881.0,27254224.0
Elmore County,AL,340,60,141,199,145,54,0,345.0,90.0,127.0,218.0,155.0,63.0,0.0,278.0,57.0,46.0,232.0,211.0,21.0,0.0,215.0,55.0,0.0,215.0,162.0,53.0,0.0,351.0,74.0,76.0,275.0,215.0,60.0,0.0,330.0,62.0,57.0,273.0,184.0,89.0,0.0,369.0,63.0,69.0,300.0,173.0,127.0,0.0,377.0,45.0,63.0,314.0,221.0,93.0,0.0,367.0,28.0,74.0,293.0,173.0,120.0,0.0,441.0,24.0,68.0,373.0,171.0,202.0,0.0,490.0,37.0,81.0,409.0,120.0,289.0,0.0,1071,1014,982,928,900,892,869,825,817,785,792,3963.0,8782.0,85123.0,3858.0,8652.0,84122.0,3298.0,7986.0,83185.0,3335.0,8470.0,82377.0,3076.0,8132.0,76834.0,3258.0,8820.0,76637.0,3753.0,9462.0,76683.0,3914.0,10299.0,76133.0,4221.0,10893.0,76191.0,4216.0,10334.0,75749.0,22358.0,9700.0,74949.0,37323.0,4467.0,37085.0,4556.0,36787.0,4603.0,36425.0,4795.0,34332.0,4538.0,34165.0,4457.0,34004.0,4861.0,33798.0,4683.0,33322.0,4432.0,33140.0,4489.0,32985.0,4368.0,AL-504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erie County,NY,1549,84,21,1528,1207,321,0,1560.0,92.0,31.0,1529.0,1147.0,382.0,0.0,856.0,50.0,22.0,834.0,570.0,264.0,0.0,663.0,47.0,0.0,663.0,472.0,191.0,0.0,872.0,29.0,33.0,839.0,621.0,218.0,0.0,924.0,31.0,33.0,891.0,646.0,229.0,16.0,957.0,25.0,15.0,942.0,672.0,255.0,15.0,925.0,24.0,18.0,907.0,565.0,327.0,15.0,962.0,38.0,57.0,905.0,524.0,367.0,14.0,919.0,85.0,61.0,858.0,424.0,418.0,16.0,1088.0,98.0,67.0,1021.0,547.0,459.0,15.0,1090,1037,984,893,852,829,804,778,752,739,738,62797.0,128474.0,927487.0,63494.0,130009.0,927075.0,61928.0,127623.0,928025.0,59579.0,127528.0,925017.0,58040.0,122418.0,892930.0,61612.0,126806.0,893029.0,63078.0,129903.0,893188.0,64684.0,133648.0,897565.0,63147.0,132072.0,895999.0,64650.0,134715.0,895449.0,279410.0,131644.0,894415.0,441214.0,31549.0,439987.0,31276.0,438630.0,32083.0,436986.0,33922.0,429708.0,36798.0,428362.0,38777.0,427147.0,39300.0,425716.0,39345.0,421361.0,38539.0,420782.0,37936.0,420537.0,38754.0,NY-508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erie County,OH,4089,528,1270,2819,2386,433,0,3823.0,416.0,1232.0,2591.0,2091.0,500.0,0.0,4075.0,511.0,1306.0,2769.0,2239.0,530.0,0.0,2336.0,174.0,0.0,2336.0,1835.0,501.0,0.0,3577.0,192.0,986.0,2591.0,1913.0,668.0,10.0,3479.0,330.0,814.0,2665.0,1985.0,672.0,8.0,3133.0,196.0,633.0,2500.0,1754.0,736.0,10.0,3309.0,180.0,623.0,2686.0,1860.0,816.0,10.0,3032.0,182.0,445.0,2587.0,1635.0,942.0,10.0,3320.0,297.0,466.0,2854.0,1741.0,1103.0,10.0,3806.0,282.0,559.0,3247.0,2052.0,1185.0,10.0,933,882,884,814,773,756,739,716,708,707,710,5367.0,9494.0,73205.0,4901.0,9228.0,73666.0,4481.0,8501.0,74100.0,4494.0,8980.0,74425.0,4027.0,8748.0,73261.0,3582.0,8608.0,73651.0,3522.0,8858.0,73963.0,4338.0,9636.0,74219.0,4223.0,9584.0,74772.0,4308.0,9333.0,75129.0,23987.0,9543.0,75133.0,38534.0,6052.0,38400.0,6278.0,38298.0,6195.0,38225.0,6241.0,37877.0,6558.0,37860.0,6677.0,37859.0,6558.0,37827.0,6250.0,37715.0,5984.0,37739.0,5972.0,37777.0,5779.0,OH-507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erie County,PA,454,105,76,378,301,67,10,371.0,64.0,40.0,331.0,266.0,56.0,9.0,298.0,49.0,23.0,275.0,224.0,44.0,7.0,254.0,56.0,0.0,254.0,168.0,76.0,10.0,348.0,38.0,6.0,342.0,255.0,77.0,10.0,356.0,38.0,6.0,350.0,246.0,96.0,8.0,336.0,20.0,4.0,332.0,238.0,94.0,0.0,369.0,29.0,8.0,361.0,241.0,120.0,0.0,377.0,11.0,10.0,367.0,219.0,148.0,0.0,410.0,30.0,16.0,394.0,222.0,166.0,6.0,408.0,46.0,47.0,361.0,215.0,146.0,0.0,904,876,851,787,758,753,737,723,701,689,685,18814.0,38291.0,255825.0,17933.0,39543.0,256456.0,17509.0,39662.0,257534.0,18123.0,40599.0,258780.0,17385.0,40103.0,258836.0,18156.0,41793.0,260956.0,19034.0,42812.0,263369.0,19761.0,44492.0,265377.0,19019.0,44452.0,266721.0,18738.0,44595.0,267554.0,96795.0,44743.0,267836.0,120111.0,9524.0,120019.0,9913.0,119910.0,10436.0,119941.0,11080.0,121613.0,11225.0,121362.0,11044.0,121124.0,11074.0,120871.0,10494.0,119931.0,9884.0,119827.0,9893.0,119506.0,9806.0,PA-605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escambia County,FL,1123,365,544,579,275,304,0,1180.0,234.0,742.0,438.0,183.0,255.0,0.0,727.0,250.0,367.0,360.0,164.0,196.0,0.0,731.0,1.0,583.0,148.0,36.0,112.0,0.0,746.0,184.0,374.0,372.0,203.0,169.0,0.0,518.0,52.0,177.0,341.0,220.0,121.0,0.0,632.0,78.0,145.0,487.0,236.0,251.0,0.0,758.0,135.0,257.0,501.0,218.0,283.0,0.0,798.0,216.0,182.0,616.0,366.0,250.0,0.0,1014.0,219.0,476.0,538.0,186.0,352.0,0.0,843.0,184.0,232.0,611.0,271.0,340.0,0.0,1321,1234,1170,1076,1020,983,967,928,901,892,890,20308.0,45192.0,307204.0,18291.0,44136.0,304592.0,18255.0,44874.0,302159.0,18404.0,43819.0,301308.0,16841.0,41878.0,299170.0,17556.0,41439.0,295356.0,18644.0,40780.0,293257.0,18728.0,42457.0,291256.0,18304.0,42672.0,289896.0,19269.0,45308.0,286927.0,104909.0,48557.0,283787.0,149217.0,20190.0,147678.0,19386.0,146123.0,19586.0,144698.0,20204.0,142456.0,20287.0,141355.0,21251.0,140523.0,21783.0,139751.0,21915.0,138693.0,22709.0,138178.0,24518.0,137755.0,25360.0,FL-511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
